OBJECTID,DATE,Allegany,Anne Arundel,Baltimore County,Baltimore City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince Georges,Queen Annes,Somerset,St Marys,Talbot,Washington,Wicomico,Worcester
318,2021/02/14 15:00:00+00,193,489,1188,834,62,18,201,112,149,39,252,57,222,211,37,1328,1257,36,29,110,30,237,137,86
319,2021/02/15 15:00:00+00,194,494,1195,837,62,18,202,113,150,39,254,57,222,211,37,1337,1262,36,30,111,30,240,139,87
320,2021/02/16 15:00:00+00,195,497,1197,838,62,18,202,113,150,39,254,57,224,210,38,1337,1264,36,30,111,31,242,139,88
321,2021/02/17 15:00:00+00,195,498,1200,836,64,18,203,113,150,40,255,58,225,211,38,1337,1266,37,30,111,31,242,139,89
322,2021/02/18 15:00:00+00,195,504,1209,844,65,18,203,113,151,42,256,58,227,210,39,1348,1275,37,30,112,31,245,140,90
323,2021/02/19 15:00:00+00,195,504,1209,846,65,18,203,114,151,42,256,58,227,210,39,1350,1274,37,30,112,31,244,141,90
324,2021/02/20 15:00:00+00,196,507,1213,846,66,18,203,115,151,42,257,58,227,210,40,1350,1274,37,30,112,31,245,141,90
325,2021/02/21 15:00:00+00,196,507,1214,846,66,18,203,115,151,42,258,58,227,210,40,1351,1276,37,30,112,31,245,141,90
326,2021/02/22 15:00:00+00,196,508,1217,846,66,18,203,115,151,42,258,58,227,210,40,1353,1278,37,30,112,31,245,141,90
327,2021/02/23 15:00:00+00,197,510,1220,848,67,18,205,115,152,42,258,60,229,212,40,1352,1280,37,30,113,32,246,141,90
328,2021/02/24 15:00:00+00,197,513,1226,853,67,18,206,117,152,42,260,60,230,212,40,1354,1285,37,30,113,32,248,141,91
329,2021/02/25 15:00:00+00,197,518,1241,864,68,19,207,117,155,44,263,60,232,213,40,1363,1298,37,31,114,33,249,141,91
330,2021/02/26 15:00:00+00,197,520,1244,865,69,19,207,118,155,44,267,60,232,213,40,1363,1298,37,31,114,34,249,141,91
331,2021/02/27 15:00:00+00,198,522,1248,864,70,19,208,118,155,44,269,60,233,214,40,1365,1299,37,31,114,34,250,141,91
332,2021/02/28 15:00:00+00,198,524,1249,865,70,19,209,118,155,44,271,60,233,214,40,1367,1300,37,31,114,34,250,141,91
333,2021/03/01 15:00:00+00,198,525,1249,865,70,19,209,118,155,44,271,60,233,214,40,1367,1300,37,31,114,34,250,141,91
334,2021/03/02 15:00:00+00,198,528,1250,869,70,20,209,118,155,44,272,60,235,214,41,1373,1302,37,31,114,34,251,141,92
335,2021/03/03 15:00:00+00,198,528,1254,873,70,20,209,119,157,44,272,60,235,214,41,1375,1305,37,31,114,34,252,142,92
336,2021/03/04 15:00:00+00,198,529,1256,875,71,20,209,120,157,44,272,60,235,214,41,1376,1307,37,32,114,34,252,143,91
337,2021/03/05 15:00:00+00,199,530,1257,876,71,20,209,121,158,44,272,60,236,215,41,1379,1309,37,32,115,34,254,143,91
338,2021/03/06 15:00:00+00,199,531,1258,878,71,20,209,121,158,44,272,60,236,214,41,1381,1310,37,32,115,34,254,143,91
339,2021/03/07 15:00:00+00,199,531,1259,879,71,20,209,121,158,44,273,60,236,214,41,1381,1312,37,32,115,35,255,143,91
340,2021/03/08 15:00:00+00,199,531,1259,879,71,20,209,121,158,44,274,60,237,214,41,1381,1312,37,32,115,35,255,143,91
341,2021/03/09 15:00:00+00,199,532,1266,879,72,21,210,121,159,44,274,60,240,214,41,1385,1315,37,32,115,35,256,144,91
